¹Û²âÈÕÆÚ,TP13,TP18,TP29
2019/10/21,3796.008663,5911.488992,
2019/10/22,3797.213781,5914.34249,
2019/10/23,3800.121185,5916.204768,
2019/10/24,3800.275561,5917.89561,0
2019/10/25,3802.2651,5918.518613,2.720294102
2019/10/26,3803.745219,5920.155513,3.574912586
2019/10/27,3805.357757,5923.097639,5.943063183
2019/10/28,3807.126822,5925.959185,7.40945342
2019/10/29,3807.866248,5929.408865,7.360027174
2019/10/30,3809.897266,5933.267944,8.982761268
2019/10/31,3810.538213,5930.836363,10.76197008
2019/11/1,3813.300413,5931.633976,11.282287
2019/11/2,3812.199995,5934.041373,11.19508821
2019/11/3,3815.898671,5935.863321,12.68266533
2019/11/4,3815.140733,5937.773867,13.79021392
2019/11/5,3813.475478,5936.991788,12.50519892
2019/11/6,3817.966343,5939.67745,13.84846562
2019/11/7,3818.03832,5943.005891,15.94270993
2019/11/8,3817.406897,5946.040351,19.19531193
2019/11/9,3822.280421,5948.57822,20.28915967
2019/11/10,3825.879232,5946.911889,20.94254044
2019/11/11,3825.925789,5949.828412,21.16695538
2019/11/12,3828.721486,5953.503741,22.98477757
2019/11/13,3830.067234,5958.680476,23.14584196
2019/11/14,3831.931615,5957.815792,26.6300582
2019/11/15,3833.700168,5963.193059,25.33081128
2019/11/16,3833.699823,5962.761537,27.33056897
2019/11/17,3830.956938,5960.510925,26.8646608
2019/11/18,3836.107409,5966.308881,24.32570657
2019/11/19,3833.084652,5963.794602,24.35343918
2019/11/20,3838.513632,5969.753162,25.14855861
2019/11/21,3840.999593,5971.5337,26.45959183
2019/11/22,3838.187252,5973.176117,30.33710599
2019/11/23,3843.654044,5978.484895,32.03841444
2019/11/24,3845.829593,5979.61147,30.05877576
2019/11/25,3844.613027,5980.673113,30.12407675
2019/11/26,3844.967675,5983.98577,32.06446631
2019/11/27,3850.142343,5985.268664,32.06571378
2019/11/28,3848.285451,5980.848768,32.89711234
2019/11/29,3853.372784,5981.436626,37.63429287
2019/11/30,3846.637603,5978.822509,33.83164199
2019/12/1,3850.592326,5978.752382,33.04391018
2019/12/2,3854.857323,5982.710737,38.1432825
2019/12/3,3853.174709,5981.102608,37.83397944
2019/12/4,3857.558946,5984.511821,36.04996533
2019/12/5,3858.713891,5990.702826,38.18075431
2019/12/6,3858.939244,5990.088415,42.99313899
2019/12/7,3857.160305,5992.082524,41.09428184
2019/12/8,3860.142093,5993.194878,42.58978751
2019/12/9,3863.759529,5994.988968,44.40664365
2019/12/10,3860.911253,5993.588462,47.28985092
2019/12/11,3865.643027,5999.868776,47.38417457
2019/12/12,3863.114465,5998.009954,44.99011002
2019/12/13,3862.38012,5995.513478,45.33541662
2019/12/14,3865.678596,5996.440692,46.54599875
